date,adj_close,volume,ticker
2024-08-21,,,BOA
2024-08-22,,,BOA
2024-08-23,,,BOA
2024-08-26,,,BOA
2024-08-27,,,BOA
2024-08-28,,,BOA
2024-08-29,,,BOA
2024-08-30,,,BOA
2024-09-03,,,BOA
2024-09-04,,,BOA
2024-09-05,,,BOA
2024-09-06,,,BOA
2024-09-09,,,BOA
2024-09-10,,,BOA
2024-09-11,,,BOA
2024-09-12,,,BOA
2024-09-13,,,BOA
2024-09-16,,,BOA
2024-09-17,,,BOA
2024-09-18,,,BOA
2024-09-19,,,BOA
2024-09-20,,,BOA
2024-09-23,,,BOA
2024-09-24,,,BOA
2024-09-25,,,BOA
2024-09-26,,,BOA
2024-09-27,,,BOA
2024-09-30,,,BOA
2024-10-01,,,BOA
2024-10-02,,,BOA
2024-10-03,,,BOA
2024-10-04,,,BOA
2024-10-07,,,BOA
2024-10-08,,,BOA
2024-10-09,,,BOA
2024-10-10,,,BOA
2024-10-11,,,BOA
2024-10-14,,,BOA
2024-10-15,,,BOA
2024-10-16,,,BOA
2024-10-17,,,BOA
2024-10-18,,,BOA
2024-10-21,,,BOA
2024-10-22,,,BOA
2024-10-23,,,BOA
2024-10-24,,,BOA
2024-10-25,,,BOA
2024-10-28,,,BOA
2024-10-29,,,BOA
2024-10-30,,,BOA
2024-10-31,,,BOA
2024-11-01,,,BOA
2024-11-04,,,BOA
2024-11-05,,,BOA
2024-11-06,,,BOA
2024-11-07,,,BOA
2024-11-08,,,BOA
2024-11-11,,,BOA
2024-11-12,,,BOA
2024-11-13,,,BOA
2024-11-14,,,BOA
2024-11-15,,,BOA
2024-11-18,,,BOA
2024-11-19,,,BOA
2024-11-20,,,BOA
2024-11-21,,,BOA
2024-11-22,,,BOA
2024-11-25,,,BOA
2024-11-26,,,BOA
2024-11-27,,,BOA
2024-11-29,,,BOA
2024-12-02,,,BOA
2024-12-03,,,BOA
2024-12-04,,,BOA
2024-12-05,,,BOA
2024-12-06,,,BOA
2024-12-09,,,BOA
2024-12-10,,,BOA
2024-12-11,,,BOA
2024-12-12,,,BOA
2024-12-13,,,BOA
2024-12-16,,,BOA
2024-12-17,,,BOA
2024-12-18,,,BOA
2024-12-19,,,BOA
2024-12-20,,,BOA
2024-12-23,,,BOA
2024-12-24,,,BOA
2024-12-26,,,BOA
2024-12-27,,,BOA
2024-12-30,,,BOA
2024-12-31,,,BOA
2025-01-02,,,BOA
2025-01-03,,,BOA
2025-01-06,,,BOA
2025-01-07,,,BOA
2025-01-08,,,BOA
2025-01-10,,,BOA
2025-01-13,,,BOA
2025-01-14,,,BOA
2025-01-15,,,BOA
2025-01-16,,,BOA
2025-01-17,,,BOA
2025-01-21,,,BOA
2025-01-22,,,BOA
2025-01-23,,,BOA
2025-01-24,,,BOA
2025-01-27,,,BOA
2025-01-28,,,BOA
2025-01-29,,,BOA
2025-01-30,,,BOA
2025-01-31,,,BOA
2025-02-03,,,BOA
2025-02-04,,,BOA
2025-02-05,,,BOA
2025-02-06,,,BOA
2025-02-07,,,BOA
2025-02-10,,,BOA
2025-02-11,,,BOA
2025-02-12,,,BOA
2025-02-13,,,BOA
2025-02-14,,,BOA
2025-02-18,,,BOA
2025-02-19,,,BOA
2025-02-20,,,BOA
2025-02-21,,,BOA
2025-02-24,,,BOA
2025-02-25,,,BOA
2025-02-26,,,BOA
2025-02-27,,,BOA
2025-02-28,,,BOA
2025-03-03,,,BOA
2025-03-04,,,BOA
2025-03-05,,,BOA
2025-03-06,,,BOA
2025-03-07,,,BOA
2025-03-10,,,BOA
2025-03-11,,,BOA
2025-03-12,,,BOA
2025-03-13,,,BOA
2025-03-14,,,BOA
2025-03-17,,,BOA
2025-03-18,,,BOA
2025-03-19,,,BOA
2025-03-20,,,BOA
2025-03-21,,,BOA
2025-03-24,,,BOA
2025-03-25,,,BOA
2025-03-26,,,BOA
2025-03-27,,,BOA
2025-03-28,,,BOA
2025-03-31,,,BOA
2025-04-01,,,BOA
2025-04-02,,,BOA
2025-04-03,,,BOA
2025-04-04,,,BOA
2025-04-07,,,BOA
2025-04-08,,,BOA
2025-04-09,,,BOA
2025-04-10,,,BOA
2025-04-11,,,BOA
2025-04-14,,,BOA
2025-04-15,,,BOA
2025-04-16,,,BOA
2025-04-17,,,BOA
2025-04-21,,,BOA
2025-04-22,,,BOA
2025-04-23,,,BOA
2025-04-24,,,BOA
2025-04-25,,,BOA
2025-04-28,,,BOA
2025-04-29,,,BOA
2025-04-30,,,BOA
2025-05-01,,,BOA
2025-05-02,,,BOA
2025-05-05,,,BOA
2025-05-06,,,BOA
2025-05-07,,,BOA
2025-05-08,,,BOA
2025-05-09,,,BOA
2025-05-12,,,BOA
2025-05-13,,,BOA
2025-05-14,,,BOA
2025-05-15,,,BOA
2025-05-16,,,BOA
2025-05-19,,,BOA
2025-05-20,,,BOA
2025-05-21,,,BOA
2025-05-22,,,BOA
2025-05-23,,,BOA
2025-05-27,,,BOA
2025-05-28,,,BOA
2025-05-29,,,BOA
2025-05-30,,,BOA
2025-06-02,,,BOA
2025-06-03,,,BOA
2025-06-04,,,BOA
2025-06-05,,,BOA
2025-06-06,,,BOA
2025-06-09,,,BOA
2025-06-10,,,BOA
2025-06-11,,,BOA
2025-06-12,,,BOA
2025-06-13,,,BOA
2025-06-16,,,BOA
2025-06-17,,,BOA
2025-06-18,,,BOA
2025-06-20,,,BOA
2025-06-23,,,BOA
2025-06-24,,,BOA
2025-06-25,,,BOA
2025-06-26,,,BOA
2025-06-27,,,BOA
2025-06-30,,,BOA
2025-07-01,,,BOA
2025-07-02,,,BOA
2025-07-03,,,BOA
2025-07-07,,,BOA
2025-07-08,,,BOA
2025-07-09,,,BOA
2025-07-10,,,BOA
2025-07-11,,,BOA
2025-07-14,,,BOA
2025-07-15,,,BOA
2025-07-16,,,BOA
2025-07-17,,,BOA
2025-07-18,,,BOA
2025-07-21,,,BOA
2025-07-22,,,BOA
2025-07-23,,,BOA
2025-07-24,,,BOA
2025-07-25,,,BOA
2025-07-28,,,BOA
2025-07-29,,,BOA
2025-07-30,,,BOA
2025-07-31,,,BOA
2025-08-01,,,BOA
2025-08-04,,,BOA
2025-08-05,,,BOA
2025-08-06,,,BOA
2025-08-07,,,BOA
2025-08-08,,,BOA
2025-08-11,,,BOA
2025-08-12,,,BOA
2025-08-13,,,BOA
2025-08-14,,,BOA
2025-08-15,,,BOA
2025-08-18,,,BOA
2025-08-19,,,BOA
2025-08-20,,,BOA
2024-08-21,15.247692108154297,1997800.0,DB
2024-08-22,15.763408660888672,2546300.0,DB
2024-08-23,16.006671905517578,1467700.0,DB
2024-08-26,15.880173683166504,1501300.0,DB
2024-08-27,16.03586196899414,1516800.0,DB
2024-08-28,15.841252326965332,1381400.0,DB
2024-08-29,15.802330017089844,1538500.0,DB
2024-08-30,15.958017349243164,1652500.0,DB
2024-09-03,15.490954399108887,2153000.0,DB
2024-09-04,15.539607048034668,1602300.0,DB
2024-09-05,16.1623592376709,2183800.0,DB
2024-09-06,15.724486351013184,1927100.0,DB
2024-09-09,16.18181800842285,2026200.0,DB
2024-09-10,15.432570457458496,2607600.0,DB
2024-09-11,15.247692108154297,3520000.0,DB
2024-09-12,15.393649101257324,1856300.0,DB
2024-09-13,15.773138046264648,2256000.0,DB
2024-09-16,15.860712051391602,1707600.0,DB
2024-09-17,16.15262794494629,2802800.0,DB
2024-09-18,16.172090530395508,2122000.0,DB
